citation_key,title,authors,year,venue,doi,url,verification_status,role,topic_note
cnki_anon_2015,父母政治资本如何影响子女工资溢价:“拼爹”还是“拼搏”?,谭远发;  西南财经大学中国西部经济研究中心,2015,管理世界,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0ySNL6AvxGY-4y_uJrooklIm8rWPWOUbBxIxDlp4qD_RSHUxHY1Im-mUGbSiIlnaQAZKeZPmtU9x22JuHtyR2zXdyqccj9_QGJwGjHZr1pvOqzMjeUb-5J-IMeM4GfmbBoTNrB_nb-R4QC6_gsNC69DRoPjCG5jYUMaSn-skwziLQ==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_parent_income_closest,"既有研究未能有效解释父母政治资本如何影响子女工资溢价,因而未能将其归因于""拼爹""还是""拼搏""。本文基于国际劳工组织实施的""从学校向职场过渡调查""(SWTS)之中国数据,采用剔除样本选择偏误和内生性偏差的区间回归模型对其进行了实证研究。主要发"
cnki_anon_2017,教育扩招促进了代际流动?,杨中超;  国家教育行政学院学校管理教研部,2017,社会,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0y_h7mhjYy-F73MPuDI1YSZqqAobTk6j_JnoDfkEtup9cXaM2vm89CVHQBiOC3wstbKXoQ8fYPt469g-7laTrJjRhIQddo1_oRI2uSxayUmvxOtuMfjRh2SgqceQWeGnva0tnoEJ5qzgqh_Wf4ZECzqstuT67e69crm4-wjG1z1Fw==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_intergen_edu,"本文基于中国综合社会调查的数据,以改革开放后参加工作的群体为研究对象,实证分析了中国高等教育扩招对代际流动的影响。研究发现,没有充足证据证明教育扩招促进了代际流动。一方面,尽管教育在扩张前后始终是决定个人社会经济地位高低的最重要因素,但教育"
cnki_1_2024,父母受教育程度对子女人力资本发展的影响,陈技伟1;  刘华1;  王琳2;  1.南京农业大学经济管理学院;  2.南京晓庄学院新闻传播学院,2024,人口与发展,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0zxyp2WyNk3LWl8DLZIK3G5kfddF8t8THTlBBmcdwII34v_tvnvfgtkmR5uPBs0gI5y5Rt5kBqPIgyILqWyrEH6DzNI6VFIknvBiQ6GPpNX6GKuG-Ucox2eqhtaPqSeLgBQ5rZ9NATiPq6Ox1D2eYlQj9BJXZSIl5B6QTHBkMGBfg==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_human_capital,"利用2013—2014学年中国教育追踪调查数据(CEPS),考察父母受教育程度对青少年子女人力资本发展的影响。研究发现，父母受教育程度能够显著提升子女的认知和非认知能力；分非认知能力维度来看，父母受教育程度能够显著提升子女的开放性、外向性和"
cnki_1_2019,“学二代”现象普遍存在吗?——基于教育数量和质量的代际流动研究,李军1;  周安华2;  2.湖南师范大学数学与统计学院,2019,教育与经济,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yiehpvedyjzPp_liv5VFMKPy-5MFOcMHH3lfZdhgSLM2gU2DpPzcMALKW66jh3KNOalYCaDlJzsU9p-OxDbkxDT4RzNyufZKN9U6VJnyDAfJzFw2Gr5rYVjj0eUue7Zav9UK3y6Hra9oSGdf8s-hNEuZpnABU4mSILuGJuAknbrA==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_intergen_edu,"文章使用中国家庭追踪调查(CFPS2014)数据,分析验证""学二代""现象在我国居民代际流动中是否普遍存在。实证结果显示:父代和子代之间的教育代际流动性较强;教育数量和质量促进了教育代际流动,在含有控制变量的条件下,父亲受教育年限每增加1年,"
cnki_12_2018,父母受教育程度对青年生育意愿的影响——基于中国家庭追踪调查（CFPS）数据的分析,"叶托1,2;  陈周懿2;  1.华南理工大学公共管理学院;  2.华南理工大学国家治理研究中心",2018,长白学刊,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yIe7SlwBh3F_aiowps6-NFS8n92MsqfyIXa6C-T7SjjtGVPRwWPRU9HIYmdr7xGIQkOVOZlApUMgeR9bFHV1q1PlW2sqpZ4gQ04tIE7YGnNl-nIVaAfY7UsLMDXLelTQwaggAawHSUtQZSa5wo3UN2j-kBkjxgRPszmPGrRQsTOg==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_cnki,青年生育意愿减弱是造成当前“超低生育率”问题的重要原因，而青年生育意愿的形成深受父母个人特征的影响。基于此，运用2018年中国家庭追踪调查（CFPS）数据，考察了父母受教育程度对青年生育意愿的影响机制。研究发现，父母受教育程度越高，青年的生
cnki_anon_2015,父母受教育程度对子女素质的影响,张珊;  赵悦;  王思雨;  河北大学公共卫生学院,2015,科技风,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0wR_Rmw-_vRnYoYndYPji0rx9i-3H6V1JTauGxueut7DeCF90jCRC5ELousKJ_srqmq3X9jljg7MR_k3XQahRxKe5c-UiRsEU-ZEy95YmQay1gMXXsHdO45wcnBQp0ewlQ9MTHwlOX5x0pDE0ogP07fTjJC53U_KT5lan0ZHdf_cQ==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_cnki,"父母受教育程度对子女素质影响的研究一直是教育学和心理学研究的重要课题。父母受教育水平的差异将会影响其子女身心等多方面的发展。子女的素质包括身体素质、科学文化素质、心理素质等,其受到多种因素的影响,父母的受教育水平作用显著,尤其是母亲的受教育"
cnki_anon_2019,我国父母受教育程度对子女收入的影响研究——基于CGSS家庭微观数据的分析,翁怀欣;  华中师范大学,2019,华中师范大学,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0wR_Rmw-_vRnYoYndYPji0ruPOQ1VTL7ShmUWGYmIQ9QX_mmqoOAyKwR9szsJLS_gF6weu-PieHdYUwZjPBxVh75-WX-KY62HpaSgzRRNoQ_E6nY0feVCwg3jWWwNWB7Sm4WWhI1xEnkq0RtRXljIxA0ZzDvv7I53TFfMhFEQN9XaUBjxAep3ub&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_parent_income_closest,"近些年,随着国家收入分配政策的调节与实施,我国居民间的收入差距得到一定程度上的缓解。但是有些数据显示,我国居民的收入差距依然较大。为了解决这一问题,笔者认为应该重视教育。教育作为人力资本的形成要素,对收入发挥着不可或缺的作用。居民收入水平不"
cnki_anon_2023,父母受教育程度对子女收入的影响研究,郭馨语;  辽宁大学,2023,辽宁大学,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yz-NGwULDvrO_5iHnKxZTEYsrNEVGpLwAzGm-WK-WCTQNNtjErH_pOayQgpx1BlAfywaIEbLnR19csw9i9tftQkU1LP88qVGFPejiXb5Q3xVbUqZIPQi2aFPsohjnJXuv4uUfPWmD_sK-b2QgrW1CyeuHC6cKAvx-CsPZtQTnqUdHB39vCRPHG&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_parent_income_closest,"进入新时代,我国的经济发展水平跃升,人民的生活质量逐渐提高,但城乡融合的步伐刚刚迈出,居民间的收入目前仍然存在很大差距。2023年全国两会强调,我们需要在不断的经济增长过程中持续增进民生福祉,稳步促进全体人民共同富裕。而教育会对个人收入产生"
cnki_anon_2021,彝族地区贫困家庭教育投资对子女代际流动的影响研究,马熠辉;  湖北省南漳县委组织部,2021,西部发展研究,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0z5pZXYzW3IdF46EvF1xbi1-MfPp4DgtpY2PgfY27KaGdD4-1CyCfzEGZ6l7molJGAyt2TjrxBKJoekKXbrVqmkfQdWbKVg938u-6LegMk1_bxotjRI_fjVHVFRTksK6lvKTlgnR4RK_7D_QnQmSdxX8Mru8e_z5W8ucZeBFlzEEg==&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_intergen_edu,"高水平、高层次的教育能够丰富人们的知识储备、提高其劳动能力,为其带来经济或非经济的收益,进而提升其社会地位。基于教育对社会流动的影响,本文利用两个彝族贫困村的95个建档立卡贫困户资料,通过二元Logistic模型和多元线性回归分析方法,结合"
cnki_anon_2022,父母受教育程度对家庭子女收入的影响研究,鲜鑫瞧;  广西民族大学,2022,广西民族大学,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0waMDL8iIx833aFK9nXDN16yB5dFc7nwH6w2oAn89O4shZQSw7T_8SckjiLlkWZlH1sxl-Q1L9qoOBtCeWaZaiA3C6SL_YiH4IDkaoqKsdq3BpaZnm03mV6lXf87Fpte7aiFSYpG7TQ1mF1DMEAlNeP1lu2U7g9bC1ycBnhWYAAyT4zYHfF4sRi&uniplatform=NZKPT&language=CHS,cnki_page_verified,china_parent_income_closest,"如今,我国迈进了新的发展阶段,新一轮科技革命和产业变革,催生出了不少新型产业;与此同时,社会上不同群体的收入分配情况,也发生了变化。面对这些新难题,国家提出要在实现高质量发展的过程中,推动共同富裕。家庭是社会的基本单元,家庭里一代对下一代能"
