source_id,citation_key,title,authors,year,venue,volume_issue_pages,doi,publisher_url,working_paper_url,cnki_url,google_scholar_url,openalex_id,semantic_scholar_id,zotero_key,pdf_hash,acquisition_source,verification_status,verification_notes,topic_relevance,method_relevance,data_relevance,contribution_role,used_in_section
becker_tomes_1986,becker_tomes_1986,Human Capital and the Rise and Fall of Families,"Becker, Gary S.; Tomes, Nigel",1986,Journal of Labor Economics,"4(3, Part 2):S1-S39",10.1086/298118,https://doi.org/10.1086/298118,,,,,,,,crossref_doi_resolve,doi_verified,"Crossref resolve OK; vip=4(3, Part 2):S1-S39",代际人力资本与家庭投资理论框架,theory_anchor,,theory_anchor,Literature and Contribution
solon_1999,solon_1999,Intergenerational Mobility in the Labor Market,"Solon, Gary",1999,Handbook of Labor Economics,1761-1800,10.1016/s1573-4463(99)03010-2,https://doi.org/10.1016/s1573-4463(99)03010-2,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=,劳动市场代际流动综述,review_mobility,,review_mobility,Literature and Contribution
card_1999,card_1999,The Causal Effect of Education on Earnings,"Card, David",1999,Handbook of Labor Economics,1801-1863,10.1016/s1573-4463(99)03011-4,https://doi.org/10.1016/s1573-4463(99)03011-4,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=,教育对收入因果效应综述与识别讨论,returns_review,,returns_review,Literature and Contribution
black_devereux_salvanes_2005,black_devereux_salvanes_2005,Why the Apple Doesn’t Fall Far: Understanding Intergenerational Transmission of Human Capital,"Black, Sandra E; Devereux, Paul J; Salvanes, Kjell G",2005,American Economic Review,95(1):437-449,10.1257/0002828053828635,https://doi.org/10.1257/0002828053828635,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=95(1):437-449,义务教育改革作工具，父母教育对子女教育,closest_causal_parent_edu,,closest_causal_parent_edu,Literature and Contribution
behrman_rosenzweig_2002,behrman_rosenzweig_2002,Does Increasing Women's Schooling Raise the Schooling of the Next Generation?,"Behrman, Jere R; Rosenzweig, Mark R",2002,American Economic Review,92(1):323-334,10.1257/000282802760015757,https://doi.org/10.1257/000282802760015757,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=92(1):323-334,母亲教育与下一代教育,causal_mother_schooling,,causal_mother_schooling,Literature and Contribution
oreopoulos_page_stevens_2006,oreopoulos_page_stevens_2006,The Intergenerational Effects of Compulsory Schooling,"Oreopoulos, Philip; Page, Marianne E.; Stevens, Ann Huff",2006,Journal of Labor Economics,24(4):729-760,10.1086/506484,https://doi.org/10.1086/506484,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=24(4):729-760,义务教育法代际效应,compulsory_schooling_iv,,compulsory_schooling_iv,Literature and Contribution
holmlund_lindahl_plug_2011,holmlund_lindahl_plug_2011,The Causal Effect of Parents' Schooling on Children's Schooling: A Comparison of Estimation Methods,"Holmlund, Helena; Lindahl, Mikael; Plug, Erik",2011,Journal of Economic Literature,49(3):615-651,10.1257/jel.49.3.615,https://doi.org/10.1257/jel.49.3.615,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=49(3):615-651,父母教育对子女教育因果证据比较综述,method_survey,,method_survey,Literature and Contribution
li_liu_zhang_2012,li_liu_zhang_2012,Estimating returns to education using twins in urban China,"Li, Hongbin; Liu, Pak Wai; Zhang, Junsen",2012,Journal of Development Economics,97(2):494-504,10.1016/j.jdeveco.2011.05.009,https://doi.org/10.1016/j.jdeveco.2011.05.009,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=97(2):494-504,中国城镇双胞胎教育回报,china_returns_twins,,china_returns_twins,Literature and Contribution
chen_jiang_zhou_2020,chen_jiang_zhou_2020,Estimating returns to education in urban China: Evidence from a natural experiment in schooling reform,"Chen, Yi; Jiang, Sheng; Zhou, Li-An",2020,Journal of Comparative Economics,48(1):218-233,10.1016/j.jce.2019.09.004,https://doi.org/10.1016/j.jce.2019.09.004,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=48(1):218-233,学制改革与中国城镇教育回报（含 CFPS）,china_cfps_returns,,china_cfps_returns,Literature and Contribution
gong_2019,gong_2019,Like father like son? Revisiting the role of parental education in estimating returns to education in China,"Gong, Binlei",2019,Review of Development Economics,23(1):275-292,10.1111/rode.12538,https://doi.org/10.1111/rode.12538,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=23(1):275-292,中国 Mincer 方程中父母教育的作用,china_parent_in_mincer,,china_parent_in_mincer,Literature and Contribution
chen_feng_2011,chen_feng_2011,Parental education and wages: Evidence from China,"Chen, Yuanyuan; Feng, Shuaizhang",2011,Frontiers of Economics in China,6(4):568-591,10.1007/s11459-011-0148-y,https://doi.org/10.1007/s11459-011-0148-y,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=6(4):568-591,中国父母教育与子女工资关联,china_parent_wage_closest,,china_parent_wage_closest,Literature and Contribution
huo_golley_2022,huo_golley_2022,Intergenerational education transmission in China: The gender dimension,"Huo, Yujia; Golley, Jane",2022,China Economic Review,71:101710,10.1016/j.chieco.2021.101710,https://doi.org/10.1016/j.chieco.2021.101710,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=71:101710,中国教育代际传递的性别维度,china_intergen_gender,,china_intergen_gender,Literature and Contribution
liu_wan_2019,liu_wan_2019,The effect of education expansion on intergenerational transmission of education: Evidence from China,"Liu, Ling; Wan, Qian",2019,China Economic Review,57:101327,10.1016/j.chieco.2019.101327,https://doi.org/10.1016/j.chieco.2019.101327,,,,,,,,crossref_doi_resolve,doi_verified,Crossref resolve OK; vip=57:101327,教育扩张与教育代际传递,china_expansion,,china_expansion,Literature and Contribution
cnki_谭远发_2015,cnki_谭远发_2015,父母政治资本如何影响子女工资溢价:“拼爹”还是“拼搏”?,谭远发,2015,管理世界,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0ySNL6AvxGY-4y_uJrooklIm8rWPWOUbBxIxDlp4qD_RSHUxHY1Im-mUGbSiIlnaQAZKeZPmtU9x22JuHtyR2zXdyqccj9_QGJwGjHZr1pvOqzMjeUb-5J-IMeM4GfmbBoTNrB_nb-R4QC6_gsNC69DRoPjCG5jYUMaSn-skwziLQ==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"既有研究未能有效解释父母政治资本如何影响子女工资溢价,因而未能将其归因于""拼爹""还是""拼搏""。本文基于国际劳工组织实施的""从学校向职场过渡调查""(SWTS)之中国数据,采用剔除样本选择偏误和内生性偏差",china_parent_income_closest,,china_parent_income_closest,Literature and Contribution
cnki_杨中超_2017,cnki_杨中超_2017,教育扩招促进了代际流动?,杨中超; 国家教育,2017,社会,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0y_h7mhjYy-F73MPuDI1YSZqqAobTk6j_JnoDfkEtup9cXaM2vm89CVHQBiOC3wstbKXoQ8fYPt469g-7laTrJjRhIQddo1_oRI2uSxayUmvxOtuMfjRh2SgqceQWeGnva0tnoEJ5qzgqh_Wf4ZECzqstuT67e69crm4-wjG1z1Fw==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"本文基于中国综合社会调查的数据,以改革开放后参加工作的群体为研究对象,实证分析了中国高等教育扩招对代际流动的影响。研究发现,没有充足证据证明教育扩招促进了代际流动。一方面,尽管教育在扩张前后始终是决定",china_cnki,,china_cnki,Literature and Contribution
