provcd,year,n_individuals,n_wage,n_manu,bartik_iv,ln_robot,ln_wage_mean,manu_share
11,2020,157,129,124,10.15265522206331,9.556681606581607,10.900024698895374,0.20161290322580644
12,2020,100,76,81,10.723513780040404,9.63864075914207,10.685080360554906,0.24691358024691357
13,2020,1207,553,615,9.167601435387496,9.64766777611313,10.220589458751979,0.2601626016260163
14,2020,823,407,443,7.594855694121996,8.87752661494989,10.267049008429794,0.12641083521444696
15,2020,17,16,11,7.625291560857529,7.77531868471251,10.042529452475716,0.2727272727272727
21,2020,1313,637,720,9.190283391655376,9.773092949325324,10.338255269281419,0.2708333333333333
22,2020,299,142,168,8.667635180321696,9.870340715991322,10.347192423148483,0.17261904761904762
23,2020,372,225,249,7.241722284459689,8.135433379393577,10.176082644462175,0.10843373493975904
31,2020,681,550,585,11.689679317257324,10.331456212321523,11.034299474182323,0.29572649572649573
32,2020,434,314,332,11.005745393793298,11.303787131145167,10.610269548705567,0.45481927710843373
33,2020,444,303,341,10.399185140710328,10.763319249477291,10.637188711746191,0.4838709677419355
34,2020,342,201,220,8.317145490922151,10.043360358330927,10.503095828071077,0.2590909090909091
35,2020,224,113,119,10.855902667536336,9.876571545034158,10.288327422383208,0.31092436974789917
36,2020,318,141,157,9.136144220109085,9.7195647143752,10.248938851399826,0.31210191082802546
37,2020,1008,523,582,10.100491858664606,10.586378567980374,10.366277398914493,0.3075601374570447
41,2020,1991,886,1082,8.650322308079739,10.249373554585732,10.264664884801814,0.21811460258780038
42,2020,242,134,156,9.051325188956037,10.346043222018976,10.549871073970758,0.16666666666666666
43,2020,386,222,274,8.693508528420155,9.535905484449186,10.553172876633734,0.17883211678832117
44,2020,1795,1100,1157,11.19962561142285,11.87452993878711,10.530908711812247,0.34572169403630076
45,2020,357,129,140,9.120431128891637,9.133577571189138,10.149941714762754,0.2357142857142857
46,2020,12,9,4,6.790728104039842,6.722622454274957,10.52553443686928,0.25
50,2020,127,70,82,8.789639799189024,9.769274784971271,10.29519204072012,0.13414634146341464
51,2020,854,317,372,8.642295788633282,9.876987507523422,10.353404058404225,0.15053763440860216
52,2020,502,169,184,8.536457211208338,8.13941863660449,10.08858907380389,0.125
53,2020,697,200,234,8.423525435094147,8.328390436962083,10.159830715306853,0.14957264957264957
61,2020,420,236,243,9.262956328332962,9.503700792053625,10.367449982940006,0.14814814814814814
62,2020,2528,906,1019,8.720374366001586,7.784762831752054,10.188622664988173,0.1364082433758587
63,2020,16,12,10,8.52381679859399,6.573401915961924,10.468630826537762,0.0
64,2020,30,23,10,8.00557014813428,6.745483024939823,9.760981908677547,0.3
65,2020,100,78,83,6.431842618909016,7.915974479114206,10.450374415532647,0.25301204819277107
11,2022,164,141,150,10.344997180025302,8.009745854806793,10.93551490631532,0.17333333333333334
12,2022,126,103,113,10.880767627378324,9.87407110016236,10.7346244316836,0.24778761061946902
13,2022,1172,578,685,9.35037322704414,9.91080769480059,10.420338808327525,0.22773722627737225
14,2022,793,402,426,7.778016111020902,9.219527044980271,10.344886114659676,0.11502347417840375
15,2022,15,12,13,7.838248450532484,8.043908665911628,10.47074914683733,0.15384615384615385
21,2022,1293,688,733,9.37140931951024,10.035357565833984,10.444040332761421,0.28512960436562074
22,2022,290,144,160,8.858642324050402,10.119403044252136,10.332940545639827,0.18125
23,2022,345,201,214,7.469957663566715,8.394082287844354,10.373579936481812,0.09345794392523364
31,2022,554,467,492,11.827537120139032,10.60930240822684,11.194522211932462,0.25
32,2022,352,264,283,11.160497009941968,11.639116608762029,10.872803670699001,0.4381625441696113
33,2022,413,297,344,10.598845404416764,10.897527163268904,10.908769068484403,0.4418604651162791
34,2022,333,220,233,8.527704708057902,10.250330823581558,10.723961572416838,0.296137339055794
35,2022,213,112,134,11.02504477090938,10.187696099276314,10.502088120937954,0.40298507462686567
36,2022,331,176,193,9.337907939617953,9.959476032269984,10.3367776087631,0.25906735751295334
37,2022,917,496,566,10.26819376107236,10.846556136011966,10.550027442597223,0.29328621908127206
41,2022,2035,978,1114,8.861797000484863,10.519297861344466,10.429070202075945,0.22710951526032316
42,2022,210,122,140,9.274901414516584,10.581407129401295,10.713971300537288,0.2
43,2022,453,265,313,8.931178057877458,9.870010393551748,10.746705262303003,0.20766773162939298
44,2022,1575,1009,1094,11.355338573905495,12.178974278932849,10.726417465296874,0.3153564899451554
45,2022,361,161,164,9.32745965735857,9.315537874348063,10.369701756171718,0.2682926829268293
46,2022,12,9,9,7.055387844486432,6.918662577538189,10.66550393664803,0.1111111111111111
50,2022,133,63,72,9.025342250614791,10.089803205630668,10.412996723270902,0.16666666666666666
51,2022,827,343,367,8.879854159493512,10.012258545897817,10.41830263962736,0.19346049046321526
52,2022,497,222,200,8.751556002296343,8.335792890136078,10.251295782757708,0.21
53,2022,567,189,211,8.655021423163326,8.629789644420875,10.408209078404262,0.13744075829383887
61,2022,362,196,205,9.441350498675051,9.722542847446697,10.5662643773595,0.1073170731707317
62,2022,2055,842,873,8.926243698633767,7.856436528160993,10.457749789151467,0.13172966781214204
63,2022,21,16,15,8.735278317238034,6.7045917902019365,10.332901169409965,0.06666666666666667
64,2022,16,13,10,8.185075224907385,6.9249358442252005,10.62973848137361,0.3
65,2022,84,71,72,6.684627024983474,8.03359517580469,10.490543487194419,0.16666666666666666
