outcome,outcome_label,spec,spec_label,coef,se,ci_low,ci_high,pval,stars,nobs,sign,significant_10pct,significant_5pct,significant_1pct
ln_wage,工资对数,baseline,基准估计,0.1993843227469314,0.077997521,0.0465091815869314,0.3522594639069314,0.010579478,**,15697,1,True,True,False
ln_wage,工资对数,age_lt55,剔除55岁及以上样本,0.2007566148243466,0.07593549,0.05192305442434661,0.34959017522434654,0.0081986273,***,13846,1,True,True,True
ln_wage,工资对数,winsor_1_99,1%缩尾处理,0.1915049527901452,0.074154511,0.046162111230145186,0.3368477943501452,0.009808382,***,15697,1,True,True,True
ln_wage,工资对数,exclude_muni,剔除直辖市,0.1253968660625281,0.022915484,0.0804825174225281,0.17031121470252808,4.4461903e-08,***,14232,1,True,True,True
manu_dummy,制造业就业,baseline,基准估计,0.0798431464060927,0.021919932,0.03688007968609271,0.1228062131260927,0.00027001274,***,18231,1,True,True,True
manu_dummy,制造业就业,age_lt55,剔除55岁及以上样本,0.0804618424537056,0.020787252,0.03971882853370561,0.1212048563737056,0.00010850994,***,16129,1,True,True,True
manu_dummy,制造业就业,winsor_1_99,1%缩尾处理,0.0798427458541939,0.021924373,0.036870974774193904,0.1228145169341939,0.00027080724,***,18231,1,True,True,True
manu_dummy,制造业就业,exclude_muni,剔除直辖市,0.0746347546662692,0.02165127,0.03219826546626921,0.1170712438662692,0.00056657434,***,16622,1,True,True,True
ISEI_score,ISEI 得分,baseline,基准估计,0.9994910924910329,0.27455181,0.4613695448910329,1.5376126400910328,0.00027216593,***,28974,1,True,True,True
ISEI_score,ISEI 得分,age_lt55,剔除55岁及以上样本,1.000558862523541,0.23537667,0.5392205893235411,1.461897135723541,2.1292868e-05,***,21895,1,True,True,True
ISEI_score,ISEI 得分,winsor_1_99,1%缩尾处理,0.9994925069976074,0.27458557,0.46130478979760736,1.5376802241976075,0.00027263415,***,28974,1,True,True,True
ISEI_score,ISEI 得分,exclude_muni,剔除直辖市,0.7904671446981283,0.18493819,0.4279882922981283,1.1529459970981284,1.9180468e-05,***,27199,1,True,True,True
part_time,兼职就业,baseline,基准估计,-0.016169458266077,0.0093711233,-0.034536859934077,0.0021979434019230026,0.08444538,*,28646,-1,True,False,False
part_time,兼职就业,age_lt55,剔除55岁及以上样本,-0.0167804153247582,0.0076724594,-0.0318184357487582,-0.0017423949007582002,0.028735423,**,21705,-1,True,True,False
part_time,兼职就业,winsor_1_99,1%缩尾处理,-0.016169557564905,0.0093709566,-0.034536632500904996,0.0021975173710950015,0.084437944,*,28646,-1,True,False,False
part_time,兼职就业,exclude_muni,剔除直辖市,-0.0120395133308918,0.0076617873,-0.0270566164388918,0.0029775897771082,0.11609641,,26874,-1,False,False,False
