ln_wage,parent_education,age,female,urban,edu_last,experience
8.42,3,24,0,1,12,5
8.11,2,26,1,0,9,9
8.76,4,28,0,1,16,7
8.33,3,30,1,1,12,12
7.98,1,32,0,0,9,15
8.91,5,34,1,1,16,11
8.57,4,36,0,0,12,17
8.24,2,38,1,1,9,23
9.03,6,40,0,1,16,19
8.68,5,42,1,0,12,23
8.37,3,44,0,1,9,27
9.14,7,46,1,1,16,24
8.49,4,48,0,0,12,29
8.17,2,50,1,1,9,34
9.26,8,52,0,1,16,31
8.79,6,54,1,0,12,36
8.45,3,56,0,1,9,39
9.31,7,58,1,1,16,37
8.63,5,29,0,0,12,11
8.28,2,31,1,1,9,16
8.97,6,35,0,1,16,13
8.52,4,39,1,0,12,21
8.20,1,43,0,1,9,28
9.08,7,47,1,1,16,25
