country,gdp_pc_initial,growth,sec_enroll,prim_enroll,inv_share,gov_share,pop_growth
Algeria,1302,0.01991354,0.08,0.46,0.17444,0.1557,0.0198
Angola,880,-0.01472415,0.02,0.21,0.0449,0.1292,0.0209
Benin,595,-0.00500653,0.02,0.27,0.09962,0.2495,0.0258
Botswana,493,0.05094783,0.01,0.42,0.098,0.2233,0.0264
Burundi,412,-0.00709916,0.01,0.18,0.02344,0.0672,0.0135
Cameroon,507,0.03079995,0.02,0.65,0.09022,0.207,0.0177
Central African Rep.,485,-0.00444417,0.01,0.32,0.11022,0.2664,0.0156
Congo,563,0.03462606,0.04,0.78,0.36284,0.207,0.023
Egypt,496,0.03493802,0.16,0.66,0.17016,0.1683,0.0258
Gabon,804,0.05402102,0.05,1,0.19298,0.104,0.0093
Gambia,433,0.00778254,0.03,0.12,0.1382,0.3079,0.0228
Ghana,534,-0.01701296,0.05,0.38,0.11694,0.0842,0.0265
Kenya,470,0.00963432,0.02,0.47,0.1734,0.1691,0.0357
Lesotho,245,0.04585721,0.03,0.83,0.0429,0.1432,0.0201
Liberia,449,0.00357685,0.02,0.31,0.453,0.2684,0.0265
Madagascar,659,-0.01128534,0.04,0.52,0.0644,0.1929,0.0236
Malawi,237,0.01961458,0.01,0.67,0.09094,0.2776,0.022
Mali,396,-0.00437186,0.01,0.1,0.05524,0.2738,0.0242
Mauritius,542,0.03248638,0.24,0.98,0.0501,0.1265,0.0229
Morocco,414,0.01136209,0.05,0.47,0.35596,0.2979,0.0273
Mozambique,798,-0.01652049,0.02,0.48,0.05458,0.1789,0.0218
Niger,284,0.01649931,0.005,0.05,0.07518,0.2167,0.0249
Nigeria,552,0.00204811,0.04,0.36,0.04804,0.0507,0.0251
Rwanda,244,0.01338857,0.02,0.49,0.0497,0.0988,0.0294
Senegal,756,-0.00010596,0.03,0.27,0.09606,0.2902,0.0233
Sierra Leone,281,0.0182086,0.02,0.23,0.0907,0.1813,0.0136
Somalia,483,-0.01311257,0.01,0.09,0.07746,0.1947,0.0346
South africa,2627,0.01565122,0.15,0.89,0.18102,0.1179,0.0219
Sudan,667,-0.00844884,0.03,0.25,0.11898,0.1158,0.0203
Swaziland,441,0.03960558,0.05,0.58,0.18462,0.1912,0.0314
Tanzania,208,0.02138319,0.02,0.25,0.1278,0.2791,0.0298
Togo,415,0.00656336,0.02,0.44,0.08758,0.163,0.0289
Tunisia,852,0.03512034,0.12,0.66,0.12048,0.156,0.0185
Uganda,322,0.00299093,0.03,0.49,0.0414,0.1674,0.0412
Zaire,314,-0.01609142,0.03,0.6,0.0253,0.1177,0.019
Zambia,740,-0.00946997,0.02,0.42,0.36086,0.1887,0.0278
