store_id,state,treated,period,fte,wage,chain
46,PA,0,0,40.5,,Burger King
46,PA,0,1,24,4.3,Burger King
49,PA,0,0,13.75,,KFC
49,PA,0,1,11.5,4.45,KFC
506,PA,0,0,8.5,,KFC
506,PA,0,1,10.5,5,KFC
56,PA,0,0,34,5,Wendy's
56,PA,0,1,20,5.25,Wendy's
61,PA,0,0,24,5.5,Wendy's
61,PA,0,1,35.5,4.75,Wendy's
445,PA,0,0,70.5,5,Burger King
445,PA,0,1,29,4.75,Burger King
451,PA,0,0,23.5,5,Burger King
451,PA,0,1,36.5,5,Burger King
455,PA,0,0,11,5.25,KFC
455,PA,0,1,11,5,KFC
458,PA,0,0,9,5,KFC
458,PA,0,1,8.5,5,KFC
462,PA,0,0,15.5,5,Roy Rogers
462,PA,0,1,17.5,4.75,Roy Rogers
468,PA,0,0,58,5,Burger King
468,PA,0,1,29,5,Burger King
469,PA,0,0,26.5,5,Burger King
469,PA,0,1,30.5,4.5,Burger King
470,PA,0,0,28.5,5.5,Burger King
470,PA,0,1,26,4.75,Burger King
474,PA,0,0,13.5,5,Burger King
474,PA,0,1,18,4.5,Burger King
481,PA,0,0,16.75,5.25,KFC
481,PA,0,1,20,5,KFC
483,PA,0,0,9.5,5,KFC
483,PA,0,1,13.5,4.75,KFC
487,PA,0,0,15,5,Roy Rogers
487,PA,0,1,19,4.75,Roy Rogers
488,PA,0,0,29.5,5,Roy Rogers
488,PA,0,1,15.5,4.75,Roy Rogers
489,PA,0,0,18.5,5,Roy Rogers
489,PA,0,1,14.5,4.25,Roy Rogers
490,PA,0,0,20.25,5,Roy Rogers
490,PA,0,1,14,5,Roy Rogers
493,PA,0,0,36,5,Roy Rogers
493,PA,0,1,19,4.9,Roy Rogers
495,PA,0,0,21,5,Roy Rogers
495,PA,0,1,21,5,Roy Rogers
496,PA,0,0,20.5,5,Roy Rogers
496,PA,0,1,18,4.75,Roy Rogers
499,PA,0,0,19,5,Wendy's
499,PA,0,1,20.5,5,Wendy's
509,PA,0,0,14,5,Roy Rogers
509,PA,0,1,13.5,4.25,Roy Rogers
515,PA,0,0,19,5,Roy Rogers
515,PA,0,1,17.5,4.75,Roy Rogers
37,PA,0,0,32.5,4.25,Burger King
37,PA,0,1,25.5,4.25,Burger King
39,PA,0,0,19,4.25,Burger King
39,PA,0,1,15.5,,Burger King
40,PA,0,0,27,4.25,Burger King
40,PA,0,1,25.5,4.25,Burger King
41,PA,0,0,19.5,4.25,Burger King
41,PA,0,1,27,4.25,Burger King
42,PA,0,0,24,4.5,Burger King
42,PA,0,1,16,4.25,Burger King
45,PA,0,0,18,4.25,Burger King
45,PA,0,1,19,4.25,Burger King
48,PA,0,0,19,4.25,Burger King
48,PA,0,1,25,4.38,Burger King
50,PA,0,0,14,4.5,KFC
50,PA,0,1,17,4.75,KFC
51,PA,0,0,10.5,4.25,KFC
51,PA,0,1,16.5,4.25,KFC
57,PA,0,0,38,4.67,Wendy's
57,PA,0,1,20,4.5,Wendy's
58,PA,0,0,23.5,4.75,Wendy's
58,PA,0,1,18,4.5,Wendy's
59,PA,0,0,10.5,4.25,Wendy's
59,PA,0,1,12,4.25,Wendy's
60,PA,0,0,25,4.25,Wendy's
60,PA,0,1,25,4.25,Wendy's
407,PA,0,0,11,5.75,KFC
407,PA,0,1,11,5.5,KFC
430,PA,0,0,36.5,4.25,Burger King
430,PA,0,1,27,4.25,Burger King
432,PA,0,0,52.5,4.5,Burger King
432,PA,0,1,34,5.05,Burger King
433,PA,0,0,29,4.25,Burger King
433,PA,0,1,25,,Burger King
434,PA,0,0,45,4.25,Burger King
434,PA,0,1,37.5,4.25,Burger King
435,PA,0,0,22.75,4.25,Burger King
435,PA,0,1,21,4.25,Burger King
438,PA,0,0,7.5,4.25,KFC
438,PA,0,1,9.5,4.25,KFC
440,PA,0,0,15.5,4.25,Wendy's
440,PA,0,1,18,,Wendy's
441,PA,0,0,38,4.25,Wendy's
