key,title,authors,year,venue,doi,status,role,note
becker_tomes_1986,Human Capital and the Rise and Fall of Families,"Becker, Gary S.; Tomes, Nigel",1986,Journal of Labor Economics,10.1086/298118,doi_verified,theory_anchor,代际人力资本与家庭投资理论框架
solon_1999,Intergenerational Mobility in the Labor Market,"Solon, Gary",1999,Handbook of Labor Economics,10.1016/s1573-4463(99)03010-2,doi_verified,review_mobility,劳动市场代际流动综述
card_1999,The Causal Effect of Education on Earnings,"Card, David",1999,Handbook of Labor Economics,10.1016/s1573-4463(99)03011-4,doi_verified,returns_review,教育对收入因果效应综述与识别讨论
black_devereux_salvanes_2005,Why the Apple Doesn’t Fall Far: Understanding Intergenerational Transmission of Human Capital,"Black, Sandra E; Devereux, Paul J; Salvanes, Kjell G",2005,American Economic Review,10.1257/0002828053828635,doi_verified,closest_causal_parent_edu,义务教育改革作工具，父母教育对子女教育
behrman_rosenzweig_2002,Does Increasing Women's Schooling Raise the Schooling of the Next Generation?,"Behrman, Jere R; Rosenzweig, Mark R",2002,American Economic Review,10.1257/000282802760015757,doi_verified,causal_mother_schooling,母亲教育与下一代教育
oreopoulos_page_stevens_2006,The Intergenerational Effects of Compulsory Schooling,"Oreopoulos, Philip; Page, Marianne E.; Stevens, Ann Huff",2006,Journal of Labor Economics,10.1086/506484,doi_verified,compulsory_schooling_iv,义务教育法代际效应
holmlund_lindahl_plug_2011,The Causal Effect of Parents' Schooling on Children's Schooling: A Comparison of Estimation Methods,"Holmlund, Helena; Lindahl, Mikael; Plug, Erik",2011,Journal of Economic Literature,10.1257/jel.49.3.615,doi_verified,method_survey,父母教育对子女教育因果证据比较综述
li_liu_zhang_2012,Estimating returns to education using twins in urban China,"Li, Hongbin; Liu, Pak Wai; Zhang, Junsen",2012,Journal of Development Economics,10.1016/j.jdeveco.2011.05.009,doi_verified,china_returns_twins,中国城镇双胞胎教育回报
chen_jiang_zhou_2020,Estimating returns to education in urban China: Evidence from a natural experiment in schooling reform,"Chen, Yi; Jiang, Sheng; Zhou, Li-An",2020,Journal of Comparative Economics,10.1016/j.jce.2019.09.004,doi_verified,china_cfps_returns,学制改革与中国城镇教育回报（含 CFPS）
gong_2019,Like father like son? Revisiting the role of parental education in estimating returns to education in China,"Gong, Binlei",2019,Review of Development Economics,10.1111/rode.12538,doi_verified,china_parent_in_mincer,中国 Mincer 方程中父母教育的作用
chen_feng_2011,Parental education and wages: Evidence from China,"Chen, Yuanyuan; Feng, Shuaizhang",2011,Frontiers of Economics in China,10.1007/s11459-011-0148-y,doi_verified,china_parent_wage_closest,中国父母教育与子女工资关联
huo_golley_2022,Intergenerational education transmission in China: The gender dimension,"Huo, Yujia; Golley, Jane",2022,China Economic Review,10.1016/j.chieco.2021.101710,doi_verified,china_intergen_gender,中国教育代际传递的性别维度
liu_wan_2019,The effect of education expansion on intergenerational transmission of education: Evidence from China,"Liu, Ling; Wan, Qian",2019,China Economic Review,10.1016/j.chieco.2019.101327,doi_verified,china_expansion,教育扩张与教育代际传递
cnki_谭远发_2015,父母政治资本如何影响子女工资溢价:“拼爹”还是“拼搏”?,谭远发,2015,管理世界,,cnki_page_verified,china_parent_income_closest,"既有研究未能有效解释父母政治资本如何影响子女工资溢价,因而未能将其归因于""拼爹""还是""拼搏""。本文基于国际劳工组织实施的""从学校向职场过渡调查""(SWTS)之中国数据,采用剔除样本选择偏误和内生性偏差"
cnki_杨中超_2017,教育扩招促进了代际流动?,杨中超; 国家教育,2017,社会,,cnki_page_verified,china_cnki,"本文基于中国综合社会调查的数据,以改革开放后参加工作的群体为研究对象,实证分析了中国高等教育扩招对代际流动的影响。研究发现,没有充足证据证明教育扩招促进了代际流动。一方面,尽管教育在扩张前后始终是决定"
cnki_陈技伟_2024,父母受教育程度对子女人力资本发展的影响,陈技伟; 刘华; 王琳,2024,人口与发展,,cnki_page_verified,china_cnki,"利用2013—2014学年中国教育追踪调查数据(CEPS),考察父母受教育程度对青少年子女人力资本发展的影响。研究发现，父母受教育程度能够显著提升子女的认知和非认知能力；分非认知能力维度来看，父母受教"
cnki_李军_2019,“学二代”现象普遍存在吗?——基于教育数量和质量的代际流动研究,李军; 周安华,2019,教育与经济,,cnki_page_verified,china_cnki,"文章使用中国家庭追踪调查(CFPS2014)数据,分析验证""学二代""现象在我国居民代际流动中是否普遍存在。实证结果显示:父代和子代之间的教育代际流动性较强;教育数量和质量促进了教育代际流动,在含有控制"
cnki_叶托_2018,父母受教育程度对青年生育意愿的影响——基于中国家庭追踪调查（CFPS）数据的分析,叶托; 陈周懿,2018,长白学刊,,cnki_page_verified,china_cnki,青年生育意愿减弱是造成当前“超低生育率”问题的重要原因，而青年生育意愿的形成深受父母个人特征的影响。基于此，运用2018年中国家庭追踪调查（CFPS）数据，考察了父母受教育程度对青年生育意愿的影响机制
cnki_张珊_2015,父母受教育程度对子女素质的影响,张珊; 赵悦; 王思雨,2015,科技风,,cnki_page_verified,china_cnki,"父母受教育程度对子女素质影响的研究一直是教育学和心理学研究的重要课题。父母受教育水平的差异将会影响其子女身心等多方面的发展。子女的素质包括身体素质、科学文化素质、心理素质等,其受到多种因素的影响,父母"
cnki_翁怀欣_2019,我国父母受教育程度对子女收入的影响研究——基于CGSS家庭微观数据的分析,翁怀欣,2019,华中师范大学,,cnki_page_verified,china_parent_income_closest,"近些年,随着国家收入分配政策的调节与实施,我国居民间的收入差距得到一定程度上的缓解。但是有些数据显示,我国居民的收入差距依然较大。为了解决这一问题,笔者认为应该重视教育。教育作为人力资本的形成要素,对"
cnki_郭馨语_2023,父母受教育程度对子女收入的影响研究,郭馨语,2023,辽宁大学,,cnki_page_verified,china_parent_income_closest,"进入新时代,我国的经济发展水平跃升,人民的生活质量逐渐提高,但城乡融合的步伐刚刚迈出,居民间的收入目前仍然存在很大差距。2023年全国两会强调,我们需要在不断的经济增长过程中持续增进民生福祉,稳步促进"
cnki_马熠辉_2021,彝族地区贫困家庭教育投资对子女代际流动的影响研究,马熠辉,2021,西部发展研究,,cnki_page_verified,china_cnki,"高水平、高层次的教育能够丰富人们的知识储备、提高其劳动能力,为其带来经济或非经济的收益,进而提升其社会地位。基于教育对社会流动的影响,本文利用两个彝族贫困村的95个建档立卡贫困户资料,通过二元Logi"
